,date,user_id,user_name,training_type,training_duration,weight,training_distance
0,1651166018.815123,797079381,Julia,nan,nan,61.0,
1,1651171526.124367,505873517,Pascal,nan,nan,93.5,
2,1651220082.598951,505873517,Pascal,nan,nan,92.7,
3,1651605120.0,797079381,Julia,schwimme,30min,,
4,1652123220.0,797079381,Julia,schwimme,45min,,
5,1652123220.0,505873517,Pascal,jogge,40min,,
6,1652298545.988454,505873517,Pascal,jogge,45min,,
7,1652422043.296388,797079381,Julia,schwimme,30min,,
8,1652422057.765963,505873517,Pascal,jogge,40min,,
9,1653333807.641427,797079381,Julia,schwimme,40min,,
10,1653335386.062964,505873517,Pascal,jogge,40min,,
11,1653337618.04766,505873517,Pascal,nan,nan,93.0,
12,1653904385.859141,505873517,Pascal,jogge,30min,,
13,1653915192.191495,505873517,Pascal,jogge,20min,,
14,1653921071.404889,505873517,Pascal,jogge,20min,,
15,1653929465.655873,505873517,Pascal,jogge,20min,,
